,rep,model2,time,variable,type,value
92,Rep12,cox(Postsurgical),12,AUC,training,0.742951178922942
93,Rep13,cox(Postsurgical),12,AUC,training,0.745156184037623
94,Rep14,cox(Postsurgical),12,AUC,training,0.751557505426898
95,Rep15,cox(Postsurgical),12,AUC,training,0.746619794213282
96,Rep16,cox(Postsurgical),12,AUC,training,0.744694472989978
97,Rep17,cox(Postsurgical),12,AUC,training,0.743469373706059
98,Rep18,cox(Postsurgical),12,AUC,training,0.7433838558133
99,Rep19,cox(Postsurgical),12,AUC,training,0.7486277172837
100,Rep20,cox(Postsurgical),12,AUC,training,0.747285536335132
101,Rep01,JM_value,15,AUC,training,0.827009063776597
102,Rep02,JM_value,15,AUC,training,0.800520621739032
103,Rep03,JM_value,15,AUC,training,0.801760752555283
104,Rep04,JM_value,15,AUC,training,0.831712005136306
105,Rep05,JM_value,15,AUC,training,0.75761544493796
106,Rep06,JM_value,15,AUC,training,0.860028169992112
107,Rep07,JM_value,15,AUC,training,0.824568771363682
108,Rep08,JM_value,15,AUC,training,0.806581105128273
109,Rep09,JM_value,15,AUC,training,0.767520593754939
110,Rep10,JM_value,15,AUC,training,0.710944529849246
111,Rep11,JM_value,15,AUC,training,0.844609753106766
112,Rep12,JM_value,15,AUC,training,0.836535992762395
113,Rep13,JM_value,15,AUC,training,0.821619340871627
114,Rep14,JM_value,15,AUC,training,NA
115,Rep15,JM_value,15,AUC,training,0.710376836032339
116,Rep16,JM_value,15,AUC,training,0.832254648790293
117,Rep17,JM_value,15,AUC,training,0.824022934620123
118,Rep18,JM_value,15,AUC,training,NA
119,Rep19,JM_value,15,AUC,training,0.806684661229742
120,Rep20,JM_value,15,AUC,training,0.806151062067543
121,Rep01,JM_value-slope,15,AUC,training,0.861980283537454
122,Rep02,JM_value-slope,15,AUC,training,0.854439903943518
123,Rep03,JM_value-slope,15,AUC,training,0.848955857443868
124,Rep04,JM_value-slope,15,AUC,training,0.51097575882135
125,Rep05,JM_value-slope,15,AUC,training,0.840834073786659
126,Rep06,JM_value-slope,15,AUC,training,0.806151477751457
127,Rep07,JM_value-slope,15,AUC,training,0.840481559042542
128,Rep08,JM_value-slope,15,AUC,training,0.827891965121912
129,Rep09,JM_value-slope,15,AUC,training,0.78822328862646
130,Rep10,JM_value-slope,15,AUC,training,0.762896250774462
131,Rep11,JM_value-slope,15,AUC,training,0.862249421288527
132,Rep12,JM_value-slope,15,AUC,training,0.834228154784814
133,Rep13,JM_value-slope,15,AUC,training,0.71471546979812
134,Rep14,JM_value-slope,15,AUC,training,NA
135,Rep15,JM_value-slope,15,AUC,training,0.832666283366421
136,Rep16,JM_value-slope,15,AUC,training,0.900684566991382
137,Rep17,JM_value-slope,15,AUC,training,0.856886573412322
138,Rep18,JM_value-slope,15,AUC,training,0.868653222273218
139,Rep19,JM_value-slope,15,AUC,training,0.892700990930439
140,Rep20,JM_value-slope,15,AUC,training,0.844956394779426
141,Rep01,JM_cumulative,15,AUC,training,0.79643993195605
142,Rep02,JM_cumulative,15,AUC,training,0.846855978824848
143,Rep03,JM_cumulative,15,AUC,training,0.856167519867191
